Position Statement for <TOTAL>SCHW (ALL ACCOUNTS) on 3/31/25 19:33:51

None
Instrument,Qty,Net Liq,Trade Price,Last,ATR,HT_FPL,Account Name,Company Name,P/L %,P/L Open
06405VHU6,+10,"$10,002.76",100.00,100.0276,loading,NaN,BuyAccount,<empty>,+0.03%,$2.76
The Bank of New York NY 4.2% CD 12/26/2025,+10,"$10,002.76",100.00,100.0276,loading,NaN,BuyAccount,<empty>,+0.03%,$2.76
34387AJU4,+10,"$9,999.70",100.00,99.997,loading,NaN,BuyAccount,<empty>,0.00%,($0.30)
Flushing Bank NY 4.3% CD 06/17/2025,+10,"$9,999.70",100.00,99.997,loading,NaN,BuyAccount,<empty>,0.00%,($0.30)
38150VR68,+5,"$4,999.39",100.00,99.9879,loading,NaN,BuyAccount,<empty>,-0.01%,($0.61)
Goldman Sachs Bank U NY 4.2% CD 09/18/2025,+5,"$4,999.39",100.00,99.9879,loading,NaN,BuyAccount,<empty>,-0.01%,($0.61)
38150VS83,+20,"$19,994.62",100.00,99.9731,loading,loading,BuyAccount,<empty>,-0.03%,($5.38)
Goldman Sachs Bank U NY 4.2% CD 06/25/2025,+20,"$19,994.62",100.00,99.9731,loading,loading,BuyAccount,<empty>,-0.03%,($5.38)
38150VSL4,+10,"$10,001.28",100.00,100.0128,loading,loading,BuyAccount,<empty>,+0.01%,$1.28
Goldman Sachs Bank U NY 5% CD 04/08/2025,+10,"$10,001.28",100.00,100.0128,loading,loading,BuyAccount,<empty>,+0.01%,$1.28
57587GWD3,+5,"$5,000.20",100.00,100.004,loading,NaN,BuyAccount,<empty>,0.00%,$0.20
MASSACHUSETTS ST HSG REV 4.61% 12/01/2025 Callable Taxable,+5,"$5,000.20",100.00,100.004,loading,NaN,BuyAccount,<empty>,0.00%,$0.20
92346MJY8,+5,"$4,700.77",100.00,94.0153,loading,loading,BuyAccount,<empty>,-5.98%,($299.23)
Verizon Communicatio 3.95% 06/15/2029 Callable,+5,"$4,700.77",100.00,94.0153,loading,loading,BuyAccount,<empty>,-5.98%,($299.23)
AAPL,+8,"$1,770.80",223.8881,222.13,6.13,2716.06,BuyAccount,Apple Inc.,-1.13%,($20.31)
APPLE INC,+8,"$1,770.80",223.8881,222.13,6.13,2716.06,BuyAccount,Apple Inc.,-1.13%,($20.31)
